customer_id,customer_name,email,country,signup_date,customer_segment,lifetime_value
1,Andrew Thomas,andrew.thomas1@example.com,France,2022-10-25,Basic,1.25
2,Daniel Thomas,daniel.thomas2@example.com,United Kingdom,2025-06-14,Standard,2739.22
3,Kimberly White,kimberly.white3@example.com,Japan,2024-02-07,Premium,8595.26
4,Steven Scott,steven.scott4@example.com,Singapore,2023-04-10,Premium,2565.95
5,Matthew White,matthew.white5@example.com,United States,2022-01-02,Standard,3196.38
6,Daniel Thomas,daniel.thomas6@example.com,Spain,2019-03-01,Basic,617.20
7,Sofia Silva,sofia.silva7@example.com,United States,2021-12-14,Standard,2274.85
8,Ananya Lopez,ananya.lopez8@example.com,Spain,2023-03-19,Basic,784.66
9,Donald Patel,donald.patel9@example.com,United Kingdom,2018-09-16,Standard,2920.97
10,Sandra Williams,sandra.williams10@example.com,United States,2020-03-28,Standard,3566.00
11,Christopher Martin,christopher.martin11@example.com,Singapore,2024-02-03,Standard,1998.92
12,John Silva,john.silva12@example.com,France,2022-01-02,Standard,3476.13
13,Patricia Kim,patricia.kim13@example.com,Canada,2022-02-16,Standard,1860.42
14,Betty Mueller,betty.mueller14@example.com,Australia,2021-10-20,Standard,3900.15
15,Ashley Khan,ashley.khan15@example.com,United Arab Emirates,2023-10-28,Standard,1213.54
16,Jennifer Rossi,jennifer.rossi16@example.com,Australia,2024-10-03,Standard,3981.37
17,Barbara Wright,barbara.wright17@example.com,Canada,2018-11-24,Standard,1446.10
18,Charles Martin,charles.martin18@example.com,Italy,2022-10-12,Standard,833.25
19,Mark Thompson,mark.thompson19@example.com,Italy,2021-12-15,Standard,2536.44
20,Margaret Moore,margaret.moore20@example.com,Netherlands,2018-08-23,Standard,485.16
21,Aarav Sanchez,aarav.sanchez21@example.com,Netherlands,2025-08-14,Standard,807.95
22,Mary Martinez,mary.martinez22@example.com,Spain,2022-11-30,Basic,27.84
23,Robert Thomas,robert.thomas23@example.com,India,2022-01-23,Basic,306.28
24,Andrew Williams,andrew.williams24@example.com,Spain,2023-01-17,Standard,3805.53
25,Lisa Lewis,lisa.lewis25@example.com,Mexico,2019-07-18,Basic,423.57
26,Betty Lee,betty.lee26@example.com,Germany,2019-04-10,Standard,298.47
27,Barbara Young,barbara.young27@example.com,United Arab Emirates,2024-04-19,Standard,647.49
28,Ingrid Taylor,ingrid.taylor28@example.com,Germany,2024-11-11,Basic,228.46
29,Ashley Gonzalez,ashley.gonzalez29@example.com,Singapore,2018-10-31,Premium,7876.55
30,Fatima Lewis,fatima.lewis30@example.com,Netherlands,2025-08-25,Basic,774.05
31,Christopher Chen,christopher.chen31@example.com,Canada,2024-03-02,Standard,2260.25
32,Karen Hernandez,karen.hernandez32@example.com,United Arab Emirates,2025-11-08,Basic,510.16
33,Lisa Allen,lisa.allen33@example.com,Germany,2019-07-23,Standard,1099.60
34,Ashley Johnson,ashley.johnson34@example.com,Mexico,2022-02-20,Standard,1976.14
35,Emily Rodriguez,emily.rodriguez35@example.com,Canada,2018-09-27,Standard,1375.30
36,Fatima Rossi,fatima.rossi36@example.com,Australia,2022-08-05,Standard,3328.69
37,Robert Rodriguez,robert.rodriguez37@example.com,Spain,2018-10-31,Basic,359.98
38,Yuki King,yuki.king38@example.com,United Arab Emirates,2024-03-08,Standard,2631.22
39,Barbara Costa,barbara.costa39@example.com,Australia,2023-08-22,Basic,728.57
40,Patricia Davis,patricia.davis40@example.com,France,2019-11-06,Standard,815.47
41,Fatima Anderson,,Japan,2021-03-09,Standard,3414.55
42,Thomas Gonzalez,thomas.gonzalez42@example.com,Japan,2021-01-29,Standard,675.65
43,Karen Flores,karen.flores43@example.com,Japan,2025-03-10,Standard,840.82
44,Donna Martinez,donna.martinez44@example.com,Mexico,2024-10-14,Standard,1482.95
45,Andrew Williams,andrew.williams45@example.com,United States,2018-11-29,Basic,36.37
46,Ananya Costa,ananya.costa46@example.com,Spain,2020-05-13,Standard,3114.44
47,Anthony Flores,anthony.flores47@example.com,Brazil,2025-01-12,Standard,2273.19
48,Ananya Martin,ananya.martin48@example.com,Netherlands,2025-09-06,Standard,1743.15
49,Sandra Jones,sandra.jones49@example.com,United Kingdom,2022-12-06,Standard,1779.36
50,Sandra Wilson,sandra.wilson50@example.com,United Kingdom,2021-07-04,Standard,3473.64
51,Christopher Rossi,christopher.rossi51@example.com,India,2022-06-22,Basic,104.61
52,Lisa Allen,lisa.allen52@example.com,India,2020-09-17,Standard,1972.60
53,Sarah Lewis,sarah.lewis53@example.com,Canada,2018-07-27,Standard,1302.81
54,Matthew Flores,matthew.flores54@example.com,Singapore,2019-10-17,Standard,3291.22
55,Andrew Rossi,andrew.rossi55@example.com,Netherlands,2019-10-15,Standard,2093.41
56,Steven Robinson,steven.robinson56@example.com,France,2023-07-31,Standard,288.07
57,Betty Allen,betty.allen57@example.com,Germany,2020-05-31,Standard,2416.71
58,Patricia Brown,patricia.brown58@example.com,Mexico,2025-05-03,Standard,2755.58
59,Charles Wright,charles.wright59@example.com,Canada,2022-11-01,Premium,3741.15
60,Thomas Rossi,thomas.rossi60@example.com,Australia,2022-02-07,Standard,371.92
61,Patricia Torres,patricia.torres61@example.com,India,2024-03-16,Standard,1296.69
62,Matthew Allen,matthew.allen62@example.com,Japan,2021-02-19,Standard,3336.18
63,Michelle Singh,michelle.singh63@example.com,United Kingdom,2019-02-01,Standard,1696.83
64,Nancy Scott,nancy.scott64@example.com,Netherlands,2019-08-14,Basic,159.25
65,Steven Sanchez,steven.sanchez65@example.com,United States,2018-06-09,Standard,720.74
66,Nancy Walker,nancy.walker66@example.com,United Kingdom,2024-10-19,Standard,3593.90
67,William Lee,william.lee67@example.com,India,2019-10-28,Basic,314.36
68,Michelle Mueller,michelle.mueller68@example.com,Mexico,2021-10-09,Basic,405.85
69,Steven Wright,steven.wright69@example.com,Mexico,2021-05-12,Standard,2004.59
70,Mary White,mary.white70@example.com,Canada,2022-09-03,Standard,2418.07
71,Carlos Khan,carlos.khan71@example.com,Mexico,2023-04-28,Standard,1209.02
72,Ananya Costa,ananya.costa72@example.com,Germany,2018-07-30,Standard,2417.39
73,David King,david.king73@example.com,Mexico,2022-04-07,Standard,761.55
74,Yuki Thomas,yuki.thomas74@example.com,Italy,2019-03-27,Premium,4480.20
75,Mark Lee,mark.lee75@example.com,Australia,2025-09-29,Standard,974.79
76,Steven Costa,steven.costa76@example.com,Brazil,2018-09-13,Standard,2881.95
77,Kimberly Wilson,kimberly.wilson77@example.com,Spain,2023-05-14,Standard,2196.81
